NAME                                       STATUS                        ROLES                  AGE      VERSION    INTERNAL-IP       EXTERNAL-IP   OS-IMAGE                KERNEL-VERSION                  CONTAINER-RUNTIME               REGION
gpu-18.nrp.mghpcc.org                      Ready                         <none>                 119d     v1.23.14   192.69.103.158    <none>        Ubuntu 20.04.5 LTS      5.4.0-131-generic               containerd://1.5.9              us-east
hcc-nrp-shor-c5805.unl.edu                 Ready                         <none>                 149d     v1.23.14   129.93.153.143    <none>        Ubuntu 20.04 LTS        5.4.0-135-generic               containerd://1.5.9              us-central
hcc-nrp-shor-c5809.unl.edu                 Ready                         <none>                 148d     v1.23.14   129.93.153.144    <none>        Ubuntu 20.04 LTS        5.4.0-137-generic               containerd://1.5.9              us-central
hcc-nrp-shor-c5813.unl.edu                 Ready                         <none>                 148d     v1.23.14   129.93.153.145    <none>        Ubuntu 20.04 LTS        5.4.0-137-generic               containerd://1.5.9              us-central
hcc-nrp-shor-c5817.unl.edu                 Ready                         <none>                 148d     v1.23.14   129.93.153.146    <none>        Ubuntu 20.04 LTS        5.4.0-126-generic               containerd://1.5.9              us-central
hcc-nrp-shor-c5821.unl.edu                 Ready                         <none>                 148d     v1.23.14   129.93.153.147    <none>        Ubuntu 20.04 LTS        5.4.0-137-generic               containerd://1.5.9              us-central
hcc-nrp-shor-c5825.unl.edu                 Ready                         <none>                 148d     v1.23.14   129.93.153.148    <none>        Ubuntu 20.04 LTS        5.4.0-139-generic               containerd://1.5.9              us-central
hcc-nrp-shor-c5830.unl.edu                 Ready                         <none>                 112d     v1.23.14   129.93.153.149    <none>        Ubuntu 20.04.1 LTS      5.4.0-137-generic               containerd://1.5.9              us-central
hcc-nrp-shor-c5832.unl.edu                 Ready                         <none>                 113d     v1.23.14   129.93.153.150    <none>        Ubuntu 20.04.4 LTS      5.4.0-131-generic               containerd://1.5.9              us-central
hcc-nrp-shor-c5905.unl.edu                 Ready                         <none>                 148d     v1.23.14   129.93.153.136    <none>        Ubuntu 20.04 LTS        5.4.0-26-generic                containerd://1.5.9              us-central
hcc-nrp-shor-c5909.unl.edu                 Ready                         <none>                 148d     v1.23.14   129.93.153.137    <none>        Ubuntu 20.04 LTS        5.4.0-126-generic               containerd://1.5.9              us-central
